title,url,reviews_url,sentiment_score
The American Miracle: Our Nation Is No Accident,https://www.rottentomatoes.com/m/the_american_miracle_our_nation_is_no_accident,https://www.rottentomatoes.com/m/the_american_miracle_our_nation_is_no_accident/reviews,
Escape From the 21st Century,https://www.rottentomatoes.com/m/escape_from_the_21st_century,https://www.rottentomatoes.com/m/escape_from_the_21st_century/reviews,0.04
Miley Cyrus: Something Beautiful,https://www.rottentomatoes.com/m/miley_cyrus_something_beautiful,https://www.rottentomatoes.com/m/miley_cyrus_something_beautiful/reviews,
A Photographic Memory,https://www.rottentomatoes.com/m/a_photographic_memory,https://www.rottentomatoes.com/m/a_photographic_memory/reviews,0.15
How to Train Your Dragon,https://www.rottentomatoes.com/m/how_to_train_your_dragon_2025,https://www.rottentomatoes.com/m/how_to_train_your_dragon_2025/reviews,0.23
Materialists,https://www.rottentomatoes.com/m/materialists,https://www.rottentomatoes.com/m/materialists/reviews,0.23
The Unholy Trinity,https://www.rottentomatoes.com/m/the_unholy_trinity,https://www.rottentomatoes.com/m/the_unholy_trinity/reviews,
Prime Minister,https://www.rottentomatoes.com/m/prime_minister_2025,https://www.rottentomatoes.com/m/prime_minister_2025/reviews,0.17
Diablo,https://www.rottentomatoes.com/m/diablo_2025,https://www.rottentomatoes.com/m/diablo_2025/reviews,
House of Abraham,https://www.rottentomatoes.com/m/house_of_abraham,https://www.rottentomatoes.com/m/house_of_abraham/reviews,
Tatami,https://www.rottentomatoes.com/m/tatami,https://www.rottentomatoes.com/m/tatami/reviews,0.08
In the Fire of War,https://www.rottentomatoes.com/m/in_the_fire_of_war,https://www.rottentomatoes.com/m/in_the_fire_of_war/reviews,0.31
The Dogs,https://www.rottentomatoes.com/m/the_dogs,https://www.rottentomatoes.com/m/the_dogs/reviews,
Simple Minds: Everything is Possible,https://www.rottentomatoes.com/m/simple_minds_everything_is_possible,https://www.rottentomatoes.com/m/simple_minds_everything_is_possible/reviews,0.35
Indiana Jones and the Last Crusade,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade/reviews,0.2
Lilo & Stitch,https://www.rottentomatoes.com/m/lilo_and_stitch_2025,https://www.rottentomatoes.com/m/lilo_and_stitch_2025/reviews,0.25
Mission: Impossible - The Final Reckoning,https://www.rottentomatoes.com/m/mission_impossible_the_final_reckoning,https://www.rottentomatoes.com/m/mission_impossible_the_final_reckoning/reviews,0.15
